id,timestamp,temperature,humidity,pressure,status,location
1,2026-03-02T21:55:00Z,21.3238504160,51,1019.16566789540,active,Room-2
2,2026-03-02T21:42:00Z,23.7157408230,82,1007.20131612180,active,Room-3
3,2026-03-02T18:52:00Z,31.16050395080,49,989.13723044140,active,Room-4
4,2026-03-02T13:41:00Z,16.14609165060,67,986.7633818610,active,Room-5
5,2026-03-02T20:45:00Z,27.12088016190,53,990.17303447190,active,Room-6
6,2026-03-02T20:44:00Z,25.1866347710,34,1010.8764375840,active,Room-7
7,2026-03-02T12:55:00Z,27.19120736220,31,1008.14192497250,active,Room-8
8,2026-03-02T19:34:00Z,17.14093787900,56,980.5990323410,active,Room-9
9,2026-03-02T21:36:00Z,28.5034925180,67,1004.8916894090,active,Room-10
10,2026-03-02T21:47:00Z,23.11722088400,58,1017.1295330390,active,Room-11
11,2026-03-02T13:38:00Z,23.6424341650,31,1008.11590917640,active,Room-12
12,2026-03-02T21:12:00Z,27.2229176720,64,1001.11190468180,active,Room-13
13,2026-03-02T13:56:00Z,34.14661311720,54,1017.21205245030,active,Room-14
14,2026-03-02T12:51:00Z,29.1273058890,37,982.10866084390,active,Room-15
15,2026-03-02T22:13:00Z,26.8538831820,37,1014.7601001090,active,Room-16
16,2026-03-02T14:49:00Z,20.16500177540,49,992.6065134420,active,Room-17
17,2026-03-02T22:36:00Z,26.3718423760,49,1013.14195341840,active,Room-18
18,2026-03-02T15:14:00Z,24.12536607890,80,1017.3783165230,active,Room-19
19,2026-03-02T12:18:00Z,31.14439600180,73,1011.17645591700,active,Room-20
20,2026-03-02T15:36:00Z,23.4928771030,61,1019.12993713820,active,Room-21
21,2026-03-02T19:38:00Z,32.6526015820,55,1017.13460271300,active,Room-22
22,2026-03-02T16:58:00Z,17.10617946800,50,984.4835184300,active,Room-23
23,2026-03-02T10:50:00Z,24.20273899320,56,982.5238071370,active,Room-24
24,2026-03-02T16:51:00Z,16.18982504090,72,989.7554413030,active,Room-25
25,2026-03-02T17:33:00Z,32.15802991930,70,1006.17235227230,active,Room-26
26,2026-03-02T15:41:00Z,29.11419618560,50,997.536061160,active,Room-27
27,2026-03-02T21:12:00Z,28.590803270,69,1017.468006040,active,Room-28
28,2026-03-02T21:52:00Z,26.20059917900,80,1014.4362581930,active,Room-29
29,2026-03-02T13:55:00Z,32.3443094440,88,1019.13360042470,active,Room-30
30,2026-03-02T22:50:00Z,22.18049361980,42,1018.5357083970,active,Room-31
31,2026-03-02T12:14:00Z,21.19404338850,42,1001.21079678620,active,Room-32
32,2026-03-02T22:50:00Z,20.13863199210,83,983.12240426340,active,Room-33
33,2026-03-02T16:39:00Z,34.14504032010,84,1017.20630288360,active,Room-34
34,2026-03-02T11:17:00Z,24.18027632650,85,983.19210093990,active,Room-35
35,2026-03-02T17:58:00Z,32.2915123920,89,1018.3854061380,active,Room-36
36,2026-03-02T13:10:00Z,16.5989045490,77,992.13956259680,active,Room-37
37,2026-03-02T10:41:00Z,19.18611856380,69,992.12573283300,active,Room-38
38,2026-03-02T20:34:00Z,27.20271037630,60,982.9073163650,active,Room-39
39,2026-03-02T10:24:00Z,18.3348469930,38,1004.17837358340,active,Room-40
40,2026-03-02T15:31:00Z,29.3003209480,51,981.9137784070,active,Room-41
41,2026-03-02T16:18:00Z,31.16351224710,75,1017.17392272460,active,Room-42
42,2026-03-02T13:49:00Z,27.17461062660,41,1012.20902024030,active,Room-43
43,2026-03-02T12:48:00Z,28.19293574570,48,986.1205946100,active,Room-44
44,2026-03-02T14:24:00Z,29.3499368320,45,996.10764207000,active,Room-45
45,2026-03-02T16:16:00Z,18.6694448170,60,997.8307037160,active,Room-46
46,2026-03-02T12:21:00Z,18.3623053010,63,987.3581020990,active,Room-47
47,2026-03-02T22:47:00Z,25.15244216200,66,1001.17424837570,active,Room-48
48,2026-03-02T12:28:00Z,34.21100069910,72,1019.16116400,active,Room-49
49,2026-03-02T20:38:00Z,28.11856688340,34,1001.6335758640,active,Room-50
50,2026-03-02T13:31:00Z,32.15699043500,72,995.13816308360,active,Room-1
51,2026-03-02T10:31:00Z,17.10945380050,52,1018.12144829700,active,Room-2
52,2026-03-02T20:19:00Z,16.15794691580,78,998.7056641580,active,Room-3
53,2026-03-02T17:10:00Z,30.1076999410,86,1000.6778317570,active,Room-4
54,2026-03-02T18:13:00Z,15.19660853370,61,995.13821544510,active,Room-5
55,2026-03-02T13:37:00Z,25.2145819400,58,992.774810200,active,Room-6
56,2026-03-02T11:28:00Z,21.20524473410,37,1019.6107635540,active,Room-7
57,2026-03-02T21:27:00Z,25.8961827820,75,1008.3363011750,active,Room-8
58,2026-03-02T22:53:00Z,24.12462658280,34,1008.14488006350,active,Room-9
59,2026-03-02T16:13:00Z,16.18632709760,80,1018.9512879650,active,Room-10
60,2026-03-02T18:16:00Z,28.13330059970,61,1005.6129823240,active,Room-11
61,2026-03-02T13:18:00Z,20.14105271450,84,1001.14116647630,active,Room-12
62,2026-03-02T12:42:00Z,30.18059757660,32,988.11108135390,active,Room-13
63,2026-03-02T20:58:00Z,32.16589426470,42,1019.17054171960,active,Room-14
64,2026-03-02T21:18:00Z,22.11638580640,76,983.242008660,active,Room-15
65,2026-03-02T16:21:00Z,31.15211056140,47,1017.15060268530,active,Room-16
66,2026-03-02T16:17:00Z,28.18462210900,62,996.6827330560,active,Room-17
67,2026-03-02T22:24:00Z,17.15607079180,47,997.19167537150,active,Room-18
68,2026-03-02T14:47:00Z,26.5595879690,39,985.12818281690,active,Room-19
69,2026-03-02T14:31:00Z,18.6758860220,40,983.17067862580,active,Room-20
70,2026-03-02T14:51:00Z,18.9194223370,38,997.7853181790,active,Room-21
71,2026-03-02T17:49:00Z,31.16026105080,34,981.3775917440,active,Room-22
72,2026-03-02T15:38:00Z,30.17923050240,77,995.12233284740,active,Room-23
73,2026-03-02T13:52:00Z,34.10312583760,68,993.9848084420,active,Room-24
74,2026-03-02T14:30:00Z,16.1969685470,42,1015.7259615980,active,Room-25
75,2026-03-02T17:56:00Z,18.9416265960,50,995.872463930,active,Room-26
76,2026-03-02T17:32:00Z,15.5282912580,57,981.1827017270,active,Room-27
77,2026-03-02T11:19:00Z,18.6477046900,44,1000.15510519200,active,Room-28
78,2026-03-02T14:38:00Z,18.16126797850,68,998.12867289160,active,Room-29
79,2026-03-02T22:46:00Z,20.3354300360,57,1012.9411504340,active,Room-30
80,2026-03-02T15:48:00Z,34.19947463670,63,1008.16223209180,active,Room-31
81,2026-03-02T15:12:00Z,32.10981590980,74,1008.2799511720,active,Room-32
82,2026-03-02T13:33:00Z,28.20377760290,86,1014.17708259850,active,Room-33
83,2026-03-02T17:30:00Z,27.16199594740,36,987.4098970320,active,Room-34
84,2026-03-02T20:15:00Z,16.950257830,32,998.9624636000,active,Room-35
85,2026-03-02T21:51:00Z,26.3916136010,71,997.10356160350,active,Room-36
86,2026-03-02T17:35:00Z,26.5195174160,44,980.14307294400,active,Room-37
87,2026-03-02T17:41:00Z,21.11936099170,81,999.14912261130,active,Room-38
88,2026-03-02T10:14:00Z,34.4188434630,56,994.14745683050,active,Room-39
89,2026-03-02T19:21:00Z,29.15423947330,84,1018.4323467840,active,Room-40
90,2026-03-02T13:47:00Z,19.19819970150,77,995.8275984010,active,Room-41
91,2026-03-02T17:34:00Z,34.7618926500,56,1010.10074783310,active,Room-42
92,2026-03-02T21:27:00Z,31.11682506350,70,997.4111411600,active,Room-43
93,2026-03-02T20:51:00Z,15.714064840,60,990.13475473420,active,Room-44
94,2026-03-02T14:56:00Z,34.15464668640,39,995.2080287930,active,Room-45
95,2026-03-02T19:21:00Z,19.2878664890,87,994.1708162670,active,Room-46
96,2026-03-02T13:53:00Z,18.12419056230,63,1019.20890804350,active,Room-47
97,2026-03-02T17:36:00Z,18.12414328180,42,1018.18693200210,active,Room-48
98,2026-03-02T19:21:00Z,24.17213875590,73,992.7967595530,active,Room-49
99,2026-03-02T12:42:00Z,18.13969687180,81,996.2774326970,active,Room-50
100,2026-03-02T12:41:00Z,25.13334212190,33,1019.10566353030,active,Room-1
101,2026-03-02T16:48:00Z,21.16849892370,70,980.4788466670,active,Room-2
102,2026-03-02T20:39:00Z,19.18994536350,45,987.10622609020,active,Room-3
103,2026-03-02T12:39:00Z,15.11239527530,76,987.10308384760,active,Room-4
104,2026-03-02T16:44:00Z,25.6611258230,45,986.9044015210,active,Room-5
105,2026-03-02T21:55:00Z,20.7297200820,49,985.6961537880,active,Room-6
106,2026-03-02T12:11:00Z,31.9860930230,79,1009.7188409180,active,Room-7
107,2026-03-02T15:19:00Z,33.19072599720,80,1010.15561093800,active,Room-8
108,2026-03-02T14:11:00Z,28.18811549680,48,991.13133419260,active,Room-9
109,2026-03-02T11:34:00Z,29.7328746540,62,1011.9698227040,active,Room-10
110,2026-03-02T20:41:00Z,26.11287873220,62,1019.6765111380,active,Room-11
111,2026-03-02T10:56:00Z,24.11960349720,72,1009.9278666170,active,Room-12
112,2026-03-02T13:30:00Z,28.4844527240,73,993.14202356940,active,Room-13
113,2026-03-02T12:52:00Z,33.1153385340,57,993.19739558280,active,Room-14
114,2026-03-02T20:48:00Z,34.12150385820,62,1017.9773922260,active,Room-15
115,2026-03-02T21:57:00Z,21.17468637950,68,1000.8002646460,active,Room-16
116,2026-03-02T18:43:00Z,27.18868072620,88,994.1695051510,active,Room-17
117,2026-03-02T20:53:00Z,24.11150713700,55,985.20839293540,active,Room-18
118,2026-03-02T21:11:00Z,33.4461056020,55,1009.18783877370,active,Room-19
119,2026-03-02T13:44:00Z,31.20558407740,66,1012.5609421770,active,Room-20
120,2026-03-02T18:14:00Z,34.624909640,70,1015.11426157800,active,Room-21
121,2026-03-02T21:30:00Z,22.9531644640,55,1008.11694359770,active,Room-22
122,2026-03-02T20:29:00Z,28.6879337160,59,1018.16761906960,active,Room-23
123,2026-03-02T13:13:00Z,27.19951573260,31,1000.18478236770,active,Room-24
124,2026-03-02T11:25:00Z,22.2380230510,72,992.8898581090,active,Room-25
125,2026-03-02T16:15:00Z,29.6863423660,51,1002.12451108560,active,Room-26
126,2026-03-02T19:56:00Z,20.8065460690,55,1010.20151556060,active,Room-27
127,2026-03-02T18:34:00Z,34.14409855750,50,1018.8248263340,active,Room-28
128,2026-03-02T12:38:00Z,34.10962553870,36,1000.5902833960,active,Room-29
129,2026-03-02T20:30:00Z,27.12342677840,43,997.2614174130,active,Room-30
130,2026-03-02T11:52:00Z,24.9236789890,58,1013.13786783500,active,Room-31
131,2026-03-02T22:58:00Z,29.12853196800,78,996.3301562130,active,Room-32
132,2026-03-02T13:50:00Z,21.14417435170,81,988.19196347430,active,Room-33
133,2026-03-02T10:50:00Z,34.12017555550,73,990.3167737100,active,Room-34
134,2026-03-02T22:48:00Z,33.2992163180,38,1000.21428103300,active,Room-35
135,2026-03-02T10:56:00Z,31.13128162400,75,998.2907780720,active,Room-36
136,2026-03-02T13:56:00Z,15.13875168150,89,995.3880772640,active,Room-37
137,2026-03-02T13:42:00Z,22.7773973390,41,1015.5097640140,active,Room-38
138,2026-03-02T16:11:00Z,29.16912461170,53,1007.9549342370,active,Room-39
139,2026-03-02T12:28:00Z,32.5991290680,41,1014.20799490680,active,Room-40
140,2026-03-02T17:40:00Z,29.2163248200,82,1007.15683573750,active,Room-41
141,2026-03-02T21:36:00Z,16.14412426320,41,1013.13036601020,active,Room-42
142,2026-03-02T19:12:00Z,24.20202862150,60,1010.5536747170,active,Room-43
